run_timestamp,dataset,model,target,rank,feature,importance,importance_normalized
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,1,numeric__bandwidth_utilization_percent,0.2561876823866136,0.2561876823866136
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,2,numeric__offered_throughput_mbps,0.21816942223841335,0.21816942223841335
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,3,categorical__direction_uplink,0.17246937290185646,0.17246937290185646
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,4,categorical__direction_downlink,0.12039514809022497,0.12039514809022497
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,5,numeric__latency_ms,0.0427487549741508,0.0427487549741508
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,6,numeric__bw_mhz,0.03387352677628609,0.03387352677628609
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,7,numeric__ratio,0.033356221461406,0.033356221461406
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,8,numeric__flow_duration_sec,0.022541347727062823,0.022541347727062823
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,9,categorical__gnb_oai,0.021847070263522395,0.021847070263522395
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,10,categorical__gnb_srs,0.020097645748864457,0.020097645748864457
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,11,numeric__time_of_day,0.018533702707823892,0.018533702707823892
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,12,numeric__rep,0.015416059615957111,0.015416059615957111
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,13,numeric__slots,0.009823981532574352,0.009823981532574352
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,14,categorical__testbed_ntnu,0.005276726756397843,0.005276726756397843
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,15,numeric__packet_count,0.00476874018477332,0.00476874018477332
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,16,categorical__testbed_wue,0.004494596634072399,0.004494596634072399
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,17,categorical__protocol_UDP,0.0,0.0
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,18,categorical__application_type_throughput_test,0.0,0.0
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,19,categorical__link_type_5G,0.0,0.0
2026-05-15T16:21:52,zenodo_13754300_actual_throughput,RandomForestRegressor,actual_throughput_mbps,20,categorical__sdr_b200,0.0,0.0
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,1,numeric__offered_throughput_mbps,0.4663178026676178,0.4663178324699402
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,2,numeric__bandwidth_utilization_percent,0.3886960446834564,0.3886960744857788
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,3,numeric__latency_ms,0.03664594516158104,0.03664594888687134
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,4,categorical__gnb_oai,0.0355546772480011,0.0355546809732914
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,5,categorical__testbed_wue,0.016632411628961563,0.016632413491606712
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,6,numeric__ratio,0.012083825655281544,0.012083826586604118
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,7,categorical__gnb_srs,0.010970388539135456,0.01097038947045803
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,8,categorical__testbed_ntnu,0.009567498229444027,0.009567499160766602
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,9,numeric__slots,0.006982764229178429,0.006982764694839716
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,10,numeric__time_of_day,0.004855643957853317,0.004855644423514605
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,11,numeric__rep,0.0038858777843415737,0.0038858780171722174
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,12,numeric__flow_duration_sec,0.003374018706381321,0.0033740189392119646
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,13,numeric__packet_count,0.0024211774580180645,0.002421177690848708
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,14,numeric__bw_mhz,0.0020118907559663057,0.0020118909887969494
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,15,categorical__protocol_UDP,0.0,0.0
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,16,categorical__application_type_throughput_test,0.0,0.0
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,17,categorical__link_type_5G,0.0,0.0
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,18,categorical__sdr_b200,0.0,0.0
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,19,categorical__direction_downlink,0.0,0.0
2026-05-15T16:21:56,zenodo_13754300_actual_throughput,XGBRegressor,actual_throughput_mbps,20,categorical__direction_uplink,0.0,0.0
